,date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCurrently,negative,negativeIncrease,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsViral,recovered,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsPeopleAntibody,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
0,07-03-2021,MA,16417,16085,43,332,19713,19713,665,0,174,4404792,8028,116,591356,559083,1425,0,668145,508745,0,16825551,96578,156185,4963875,9309,16825551,96578
1,06-03-2021,MA,16374,16044,52,330,19713,19713,687,0,176,4396764,7826,114,589931,557802,1722,0,666605,508745,0,16728973,100359,156185,4954566,9321,16728973,100359
2,05-03-2021,MA,16322,15992,26,330,19713,19713,716,0,180,4388938,8907,109,588209,556307,1899,0,664893,508745,0,16628614,106263,156185,4945245,10584,16628614,106263
3,04-03-2021,MA,16296,15967,44,329,19713,19713,741,0,168,4380031,8554,100,586310,554630,1567,0,662972,508745,0,16522351,102362,156185,4934661,9964,16522351,102362
4,03-03-2021,MA,16252,15925,70,327,19713,19713,755,269,173,4371477,8511,109,584743,553220,1899,0,661370,494740,0,16419989,102052,154697,4924697,10064,16419989,102052
5,02-03-2021,MA,16182,15859,38,323,19444,19444,775,0,187,4362966,7609,116,582844,551667,301,0,659584,494740,0,16317937,56007,154697,4914633,7726,16317937,56007
6,01-03-2021,MA,16144,15822,26,322,19444,19444,788,0,184,4355357,6818,119,582543,551550,1395,0,659307,494740,0,16261930,53839,154697,4906907,8066,16261930,53839
7,28-02-2021,MA,16118,15796,51,322,19444,19444,760,0,183,4348539,8459,124,581148,550302,1468,0,657840,494740,0,16208091,102571,154697,4898841,9887,16208091,102571
8,27-02-2021,MA,16067,15744,43,323,19444,19444,785,0,204,4340080,8439,139,579680,548874,1700,0,656217,494740,0,16105520,108261,154697,4888954,9955,16105520,108261
9,26-02-2021,MA,16024,15703,46,321,19444,19444,807,0,211,4331641,9469,137,577980,547358,1987,0,654425,494740,0,15997259,102584,154697,4878999,11203,15997259,102584
10,25-02-2021,MA,15978,15657,33,321,19444,19444,853,0,221,4322172,11013,142,575993,545624,2108,0,652400,494740,0,15894675,118144,154697,4867796,12941,15894675,118144
11,24-02-2021,MA,15945,15624,62,321,19444,19444,875,268,219,4311159,11201,151,573885,543696,2102,0,650220,477796,0,15776531,114127,153152,4854855,12989,15776531,114127
12,23-02-2021,MA,15883,15564,30,319,19176,19176,879,0,225,4299958,7928,147,571783,541908,1237,0,648142,477796,0,15662404,62531,153152,4841866,9042,15662404,62531
13,22-02-2021,MA,15853,15534,27,319,19176,19176,888,0,229,4292030,7086,140,570546,540794,1262,0,646850,477796,0,15599873,49929,153152,4832824,8236,15599873,49929
14,21-02-2021,MA,15826,15508,47,318,19176,19176,927,0,234,4284944,8716,153,569284,539644,1520,0,645482,477796,0,15549944,87420,153152,4824588,10032,15549944,87420
15,20-02-2021,MA,15779,15462,53,317,19176,19176,970,0,246,4276228,9150,152,567764,538328,1970,0,643953,477796,0,15462524,115002,153152,4814556,10972,15462524,115002
16,19-02-2021,MA,15726,15409,40,317,19176,19176,990,0,258,4267078,8800,163,565794,536506,1818,0,641849,477796,0,15347522,106656,153152,4803584,10479,15347522,106656
17,18-02-2021,MA,15686,15373,63,313,19176,19176,1029,0,271,4258278,8646,173,563976,534827,2040,0,639875,477796,0,15240866,100002,153152,4793105,10449,15240866,100002
18,17-02-2021,MA,15623,15312,56,311,19176,19176,1088,317,273,4249632,6666,179,561936,533024,1360,0,637799,453740,0,15140864,82971,151476,4782656,7988,15140864,82971
19,16-02-2021,MA,15567,15257,50,310,18859,18859,1096,0,275,4242966,5070,177,560576,531702,1226,0,636172,453740,0,15057893,46488,151476,4774668,6037,15057893,46488
20,15-02-2021,MA,15517,15208,33,309,18859,18859,1107,0,286,4237896,8588,174,559350,530735,1573,0,634991,453740,0,15011405,62852,151476,4768631,10068,15011405,62852
21,14-02-2021,MA,15484,15176,60,308,18859,18859,1125,0,290,4229308,10250,183,557777,529255,1882,0,633210,453740,0,14948553,110894,151476,4758563,12070,14948553,110894
22,13-02-2021,MA,15424,15116,66,308,18859,18859,1149,0,291,4219058,10085,196,555895,527435,2083,0,631088,453740,0,14837659,99915,151476,4746493,12034,14837659,99915
23,12-02-2021,MA,15358,15051,89,307,18859,18859,1223,0,300,4208973,10832,180,553812,525486,2416,0,628806,453740,0,14737744,106107,151476,4734459,13060,14737744,106107
24,11-02-2021,MA,15269,14964,62,305,18859,18859,1313,0,304,4198141,10634,185,551396,523258,2450,0,626284,453740,0,14631637,110792,151476,4721399,12847,14631637,110792
25,10-02-2021,MA,15207,14903,83,304,18859,18859,1358,457,309,4187507,9337,183,548946,521045,2050,0,623666,425717,0,14520845,100271,149467,4708552,11257,14520845,100271
26,09-02-2021,MA,15124,14821,70,303,18402,18402,1401,0,324,4178170,5916,191,546896,519125,1593,0,621401,425717,0,14420574,52112,149467,4697295,7235,14420574,52112
27,08-02-2021,MA,15054,14753,55,301,18402,18402,1387,0,329,4172254,5777,188,545303,517806,1369,0,619858,425717,0,14368462,42946,149467,4690060,7053,14368462,42946
28,07-02-2021,MA,14999,14698,78,301,18402,18402,1389,0,318,4166477,12364,191,543934,516530,3107,0,618310,425717,0,14325516,113095,149467,4683007,15368,14325516,113095
29,06-02-2021,MA,14921,14622,62,299,18402,18402,1451,0,310,4154113,11850,189,540827,513526,3619,0,614847,425717,0,14212421,129509,149467,4667639,15228,14212421,129509
